Participant ID,Date,Key,Assay,Nucleic Acid,Viral Load,Viral Load Replicates,Equivocal,Sample Source,Experiment Number,Day
042-101,2018-07-24,91299,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5715,-6
042-101,2018-07-30,95919,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,0
042-101,2018-07-31,91703,Lanciotti_ZIKV_universal,vRNA,20433.3340,[19900 ; 20967],,Plasma,5738,1
042-101,2018-08-01,92450,Lanciotti_ZIKV_universal,vRNA,67833.3360,[63333 ; 72333],,Plasma,5793,2
042-101,2018-08-02,92463,Lanciotti_ZIKV_universal,vRNA,466666.6600,[463333 ; 470000],,Plasma,5793,3
042-101,2018-08-03,92589,Lanciotti_ZIKV_universal,vRNA,613333.3000,[610000 ; 616667],,Plasma,5797,4
042-101,2018-08-04,92590,Lanciotti_ZIKV_universal,vRNA,103333.3360,[98667 ; 108000],,Plasma,5797,5
042-101,2018-08-05,92591,Lanciotti_ZIKV_universal,vRNA,5100.0000,[4800 ; 5400],,Plasma,5797,6
042-101,2018-08-06,92592,Lanciotti_ZIKV_universal,vRNA,2128.3333,[1977 ; 2280],,Plasma,5797,7
042-101,2018-08-07,92593,Lanciotti_ZIKV_universal,vRNA,2273.3333,[2037 ; 2510],,Plasma,5797,8
042-101,2018-08-08,92594,Lanciotti_ZIKV_universal,vRNA,2443.3333,[2047 ; 2840],,Plasma,5797,9
042-101,2018-08-09,92595,Lanciotti_ZIKV_universal,vRNA,2336.6667,[1750 ; 2923],,Plasma,5797,10
042-101,2018-08-14,92596,Lanciotti_ZIKV_universal,vRNA,244.1667,[166 ; 323],,Plasma,5797,15
042-101,2018-08-17,92748,Lanciotti_ZIKV_universal,vRNA,72.2449,[0 ; 144],Equoivical,Plasma,5802,18
042-101,2018-08-21,92749,Lanciotti_ZIKV_universal,vRNA,361.4583,[285 ; 438],,Plasma,5802,22
042-101,2018-08-24,92750,Lanciotti_ZIKV_universal,vRNA,173.6735,[0 ; 347],Equoivical,Plasma,5802,25
042-101,2018-08-28,92751,Lanciotti_ZIKV_universal,vRNA,79.1667,[0 ; 158],Equoivical,Plasma,5802,29
042-101,2018-08-31,92880,Lanciotti_ZIKV_universal,vRNA,67.3333,[0 ; 135],Equoivical,Plasma,5807,32
042-101,2018-09-04,93120,Lanciotti_ZIKV_universal,vRNA,39.8333,[0 ; 80],Equoivical,Plasma,5823,36
042-101,2018-09-06,93121,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5823,38
042-101,2018-09-13,93566,Lanciotti_ZIKV_universal,vRNA,4.5667,[0 ; 9],Equoivical,Plasma,5843,45
042-101,2018-09-20,93826,Lanciotti_ZIKV_universal,vRNA,40.0000,[0 ; 80],Equoivical,Plasma,5863,52
042-101,2018-09-27,95093,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5950,59
042-101,2018-10-04,94370,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5891,66
042-101,2018-10-11,94595,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5906,73
042-101,2018-10-18,95094,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5950,80
042-101,2018-10-25,95920,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,87
042-101,2018-11-01,95921,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,94
042-101,2018-11-08,97303,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6074,101
042-101,2018-11-15,97304,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6074,108
042-101,2018-11-19,98369,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6104,112
042-102,2016-12-01,65021,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,3986,-585
042-102,2018-07-09,90262,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5647,0
042-102,2018-07-10,90265,Lanciotti_ZIKV_universal,vRNA,1675.0000,[1600 ; 1750],,Plasma,5647,1
042-102,2018-07-11,90517,Lanciotti_ZIKV_universal,vRNA,8700.0000,[8600 ; 8800],,Plasma,5676,2
042-102,2018-07-12,90388,Lanciotti_ZIKV_universal,vRNA,17566.5000,[17033 ; 18100],Equoivical,Urine,5664,3
042-102,2018-07-13,90385,Lanciotti_ZIKV_universal,vRNA,1896.6666,[1427 ; 2367],,Plasma,5664,4
042-102,2018-07-13,90521,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Urine,5676,4
042-102,2018-07-14,90386,Lanciotti_ZIKV_universal,vRNA,2268.3333,[2087 ; 2450],,Plasma,5664,5
042-102,2018-07-14,90522,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Urine,5676,5
042-102,2018-07-15,90387,Lanciotti_ZIKV_universal,vRNA,3195.0000,[2723 ; 3667],,Plasma,5664,6
042-102,2018-07-15,90563,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Urine,5676,6
042-102,2018-07-16,90565,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0 ; 0 ; 0],,Urine,5676,7
042-102,2018-07-17,90567,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0 ; 0 ; 0],,Urine,5676,8
042-102,2018-07-18,90569,Lanciotti_ZIKV_universal,vRNA,32.0000,[0 ; 0 ; 0 ; 128],Equoivical,Urine,5676,9
042-102,2018-07-18,90786,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5681,9
042-102,2018-07-19,90866,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5685,10
042-102,2018-07-24,91296,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5715,15
042-102,2018-07-27,91298,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5715,18
042-102,2018-07-31,91701,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5738,22
042-102,2018-08-03,92622,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5797,25
042-102,2018-08-07,92472,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5793,29
042-102,2018-08-14,92629,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5797,36
042-102,2018-08-21,92772,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,43
042-102,2018-08-28,92773,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,50
042-102,2018-09-06,93125,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5823,59
042-102,2018-09-13,93569,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5843,66
042-102,2018-09-20,93829,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5863,73
042-102,2018-09-27,95156,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5956,80
042-102,2018-10-04,94373,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5891,87
042-102,2018-10-11,94598,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5906,94
042-102,2018-10-18,95157,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5956,101
042-102,2018-10-25,95928,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,108
042-102,2018-10-31,95941,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,114
042-103,2018-08-07,92630,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5797,-6
042-103,2018-08-13,92774,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,0
042-103,2018-08-14,92631,Lanciotti_ZIKV_universal,vRNA,14018.5190,[13111 ; 14926],,Plasma,5797,1
042-103,2018-08-15,92775,Lanciotti_ZIKV_universal,vRNA,136725.6600,[134071 ; 139381],,Plasma,5802,2
042-103,2018-08-16,92632,Lanciotti_ZIKV_universal,vRNA,668333.3000,[656667 ; 680000],,Plasma,5797,3
042-103,2018-08-17,92633,Lanciotti_ZIKV_universal,vRNA,36666.6680,[35667 ; 37667],,Plasma,5797,4
042-103,2018-08-18,93176,Lanciotti_ZIKV_universal,vRNA,2575.0000,[2080 ; 3070],,Plasma,5823,5
042-103,2018-08-19,93177,Lanciotti_ZIKV_universal,vRNA,3296.6667,[3227 ; 3367],,Plasma,5823,6
042-103,2018-08-20,92776,Lanciotti_ZIKV_universal,vRNA,2910.6382,[2779 ; 3043],,Plasma,5802,7
042-103,2018-08-21,92777,Lanciotti_ZIKV_universal,vRNA,1193.2773,[639 ; 1748],,Plasma,5802,8
042-103,2018-08-22,92778,Lanciotti_ZIKV_universal,vRNA,1597.9592,[1535 ; 1661],,Plasma,5802,9
042-103,2018-08-23,92779,Lanciotti_ZIKV_universal,vRNA,708.6957,[509 ; 909],,Plasma,5802,10
042-103,2018-08-28,92780,Lanciotti_ZIKV_universal,vRNA,264.1393,[201 ; 327],,Plasma,5802,15
042-103,2018-08-31,92882,Lanciotti_ZIKV_universal,vRNA,728.3333,[520 ; 937],,Plasma,5807,18
042-103,2018-09-04,93126,Lanciotti_ZIKV_universal,vRNA,248.3333,[239 ; 258],,Plasma,5823,22
042-103,2018-09-06,93127,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5823,24
042-103,2018-09-10,93570,Lanciotti_ZIKV_universal,vRNA,299.5000,[99 ; 500],,Plasma,5843,28
042-103,2018-09-13,93571,Lanciotti_ZIKV_universal,vRNA,218.3333,[0 ; 437],Equoivical,Plasma,5843,31
042-103,2018-09-17,93830,Lanciotti_ZIKV_universal,vRNA,118.1667,[46 ; 190],,Plasma,5863,35
042-103,2018-09-20,93831,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5863,38
042-103,2018-09-27,95158,Lanciotti_ZIKV_universal,vRNA,72.6667,[0 ; 145],Equoivical,Plasma,5956,45
042-103,2018-10-01,95159,Lanciotti_ZIKV_universal,vRNA,162.5000,[144 ; 181],,Plasma,5956,49
042-103,2018-10-04,94374,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5891,52
042-103,2018-10-08,94525,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5906,56
042-103,2018-10-11,94526,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5906,59
042-103,2018-10-18,95160,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5956,66
042-103,2018-10-25,95943,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,73
042-103,2018-11-01,95944,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,80
042-103,2018-11-08,97305,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6074,87
042-103,2018-11-15,97306,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6074,94
042-103,2018-11-21,98373,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6104,100
042-103,2018-11-29,98374,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6104,108
042-104,2018-07-09,90256,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5647,0
042-104,2018-07-10,90259,Lanciotti_ZIKV_universal,vRNA,1388.3334,[1160 ; 1617],,Plasma,5647,1
042-104,2018-07-11,90514,Lanciotti_ZIKV_universal,vRNA,11483.3330,[11333 ; 11633],,Plasma,5676,2
042-104,2018-07-12,90539,Lanciotti_ZIKV_universal,vRNA,92666.665,[ 89000 ; 96333],,Urine,5676,3
042-104,2018-07-13,90540,Lanciotti_ZIKV_universal,vRNA,290000.0000,[287667 ; 292333],,Urine,5676,4
042-104,2018-07-14,90541,Lanciotti_ZIKV_universal,vRNA,257333.3350,[243667 ; 271000],,Urine,5676,5
042-104,2018-07-15,90545,Lanciotti_ZIKV_universal,vRNA,41500.0000,[40667 ; 42333],,Urine,5676,6
042-104,2018-07-16,90547,Lanciotti_ZIKV_universal,vRNA,976.6700,[737 ; 1217],,Urine,5676,7
042-104,2018-07-17,90560,Lanciotti_ZIKV_universal,vRNA,1788.3350,[1770 ; 1807],,Urine,5676,8
042-104,2018-07-18,90562,Lanciotti_ZIKV_universal,vRNA,2938.3300,[2543 ; 3333],,Urine,5676,9
042-104,2018-07-19,90865,Lanciotti_ZIKV_universal,vRNA,362.5000,[272 ; 453],,Plasma,5685,10
042-104,2018-07-24,91293,Lanciotti_ZIKV_universal,vRNA,236.1667,[179 ; 293],,Plasma,5715,15
042-104,2018-07-27,91295,Lanciotti_ZIKV_universal,vRNA,598.1667,[323 ; 873],,Plasma,5715,18
042-104,2018-07-31,91699,Lanciotti_ZIKV_universal,vRNA,528.8333,[214 ; 843],,Plasma,5738,22
042-104,2018-08-03,92612,Lanciotti_ZIKV_universal,vRNA,256.8333,[227 ; 287],,Plasma,5797,25
042-104,2018-08-07,92471,Lanciotti_ZIKV_universal,vRNA,155.1667,[143 ; 168],,Plasma,5793,29
042-104,2018-08-10,92613,Lanciotti_ZIKV_universal,vRNA,176.6667,[0 ; 353],Equoivical,Plasma,5797,32
042-104,2018-08-14,92614,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5797,36
042-104,2018-08-17,92615,Lanciotti_ZIKV_universal,vRNA,52.5000,[0 ; 105],Equoivical,Plasma,5797,39
042-104,2018-08-21,92753,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,43
042-104,2018-08-24,92754,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,46
042-104,2018-08-28,92755,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,50
042-104,2018-08-31,92881,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5807,53
042-104,2018-09-04,93122,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5823,57
042-104,2018-09-06,93123,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5823,59
042-104,2018-09-13,93567,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5843,66
042-104,2018-09-20,93827,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5863,73
042-104,2018-09-27,95095,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5950,80
042-104,2018-10-04,94371,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5891,87
042-104,2018-10-11,94596,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5906,94
042-104,2018-10-18,95096,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5950,101
042-104,2018-10-25,95922,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,108
042-104,2018-10-31,95923,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,114
042-105,2019-05-20,111589,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6744,0
042-105,2019-05-21,111842,Lanciotti_ZIKV_universal,vRNA,6250.0000,[5833 ; 6667],,Plasma,6751,1
042-105,2019-05-22,111843,Lanciotti_ZIKV_universal,vRNA,215833.3300,[212000 ; 219667],,Plasma,6751,2
042-105,2019-05-23,111844,Lanciotti_ZIKV_universal,vRNA,338000.0000,[299333 ; 376667],,Plasma,6751,3
042-105,2019-05-24,111845,Lanciotti_ZIKV_universal,vRNA,55000.0000,[51000 ; 59000],,Plasma,6751,4
042-105,2019-05-25,112731,Lanciotti_ZIKV_universal,vRNA,62033.3320,[56267 ; 67800],,Plasma,6789,5
042-105,2019-05-26,112732,Lanciotti_ZIKV_universal,vRNA,27415.0000,[26503 ; 28327],,Plasma,6789,6
042-105,2019-05-27,112733,Lanciotti_ZIKV_universal,vRNA,3688.0000,[3273 ; 4103],,Plasma,6789,7
042-105,2019-05-28,112734,Lanciotti_ZIKV_universal,vRNA,2026.8334,[1692 ; 2361],,Plasma,6789,8
042-105,2019-05-30,112757,Lanciotti_ZIKV_universal,vRNA,822.3333,[684 ; 961],,Plasma,6789,10
042-105,2019-06-03,112758,Lanciotti_ZIKV_universal,vRNA,93.4500,[63 ; 123],,Plasma,6789,14
042-105,2019-06-06,112759,Lanciotti_ZIKV_universal,vRNA,725.1667,[615 ; 835],,Plasma,6789,17
042-105,2019-06-10,114046,Lanciotti_ZIKV_universal,vRNA,213.0000,[173 ; 253],,Plasma,6876,21
042-105,2019-06-13,114047,Lanciotti_ZIKV_universal,vRNA,267.3333,[229 ; 306],,Plasma,6876,24
042-105,2019-06-17,114048,Lanciotti_ZIKV_universal,vRNA,59.7083,[55 ; 64],,Plasma,6876,28
042-105,2019-06-20,113335,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6849,31
042-105,2019-06-24,113336,Lanciotti_ZIKV_universal,vRNA,322.0833,[313 ; 332],,Plasma,6849,35
042-105,2019-06-27,113337,Lanciotti_ZIKV_universal,vRNA,190.2750,[143 ; 238],,Plasma,6849,38
042-105,2019-07-01,113338,Lanciotti_ZIKV_universal,vRNA,96.1333,[46 ; 147],,Plasma,6849,42
042-105,2019-07-03,113920,Lanciotti_ZIKV_universal,vRNA,15.2167,[0 ; 30],Equoivical,Plasma,6872,44
042-105,2019-07-03,116337,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6960,44
042-105,2019-07-08,114703,Lanciotti_ZIKV_universal,vRNA,41.8083,[14 ; 70],,Plasma,6903,49
042-105,2019-07-11,114704,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6903,52
042-105,2019-07-15,115440,Lanciotti_ZIKV_universal,vRNA,92.0000,[62 ; 122],,Plasma,6919,56
042-105,2019-07-18,115441,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6919,59
042-105,2019-07-22,115442,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6919,63
042-105,2019-07-25,115105,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6910,66
042-105,2019-07-29,115106,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6910,70
042-105,2019-08-05,117156,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6989,77
042-105,2019-08-08,117157,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6989,80
042-105,2019-08-15,117158,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6989,87
042-105,2019-08-22,116999,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6979,94
042-105,2019-08-29,117000,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6979,101
042-105,2019-09-05,118005,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,7039,108
042-105,2019-09-09,127648,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,7423,112
042-106,2019-05-28,112735,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6789,0
042-106,2019-05-29,112760,Lanciotti_ZIKV_universal,vRNA,15145.0000,[15043 ; 15247],,Plasma,6789,1
042-106,2019-05-30,112761,Lanciotti_ZIKV_universal,vRNA,520500.0000,[513667 ; 527333],,Plasma,6789,2
042-106,2019-05-31,112762,Lanciotti_ZIKV_universal,vRNA,375500.0000,[373000 ; 378000],,Plasma,6789,3
042-106,2019-06-01,112763,Lanciotti_ZIKV_universal,vRNA,83400.0000,[80067 ; 86733],,Plasma,6789,4
042-106,2019-06-02,112764,Lanciotti_ZIKV_universal,vRNA,31100.0000,[30687 ; 31513],,Plasma,6789,5
042-106,2019-06-03,112765,Lanciotti_ZIKV_universal,vRNA,378.5000,[342 ; 415],,Plasma,6789,6
042-106,2019-06-04,112778,Lanciotti_ZIKV_universal,vRNA,21.9833,[0 ; 44],Equoivical,Plasma,6789,7
042-106,2019-06-04,113800,Lanciotti_ZIKV_universal,vRNA,178.8500,[165 ; 193],,Plasma,6866,7
042-106,2019-06-05,112779,Lanciotti_ZIKV_universal,vRNA,52.9667,[33 ; 72],,Plasma,6789,8
042-106,2019-06-06,112780,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6789,9
042-106,2019-06-07,112781,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6789,10
042-106,2019-06-10,112680,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6804,13
042-106,2019-06-13,112681,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6804,16
042-106,2019-06-17,112682,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6804,20
042-106,2019-06-20,113339,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6849,23
042-106,2019-06-27,113340,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6849,30
042-106,2019-07-01,113341,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6849,34
042-106,2019-07-03,113921,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6872,36
042-106,2019-07-11,115443,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6919,44
042-106,2019-07-18,115444,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6919,51
042-106,2019-07-25,115107,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6910,58
042-106,2019-08-08,117159,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6989,72
042-106,2019-08-15,117001,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6979,79
042-106,2019-08-22,117002,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6979,86
042-106,2019-08-29,117003,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6979,93
042-106,2019-09-05,118006,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,7039,100
042-106,2019-09-12,118007,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,7039,107
