Dilution,042-101,042-102,042-103,042-104,042-105,042-106,042-107,042-108,044-101,044-102,044-103,044-104
0.4,25,83,0,45,100,16,80,57,not tested,not tested,not tested,not tested
0.7,25,51,0,28,91,13,48,36,not tested,not tested,not tested,not tested
1,13,42,0,0,71,10,33,30,not tested,not tested,not tested,not tested
1.3,0,30,0,0,54,0,25,16,not tested,not tested,not tested,not tested
1.6,0,22,0,0,39,0,16,1,not tested,not tested,not tested,not tested
1.9,0,13,0,0,33,0,13,0,not tested,not tested,not tested,not tested
2.2,0,0,0,0,0,0,0,0,not tested,not tested,not tested,not tested
2.5,0,0,0,0,0,0,0,0,not tested,not tested,not tested,not tested
2.8,0,0,0,0,0,0,0,0,not tested,not tested,not tested,not tested
3.1,0,0,0,0,0,0,0,0,not tested,not tested,not tested,not tested
3.4,0,0,0,0,0,0,0,0,not tested,not tested,not tested,not tested
3.7,0,0,0,0,0,0,0,0,not tested,not tested,not tested,not tested
4.01,,,,,,,,,,,,
4.31,,,,,,,,,,,,