Dilution,042-101 (d30),042-102 (d30),042-103 (d31),042-104 (d30),042-105 (d31),042-106 (d30),042-107 (d31),042-108 (d31),044-101 (d28),044-102 (d28),044-103 (d35),044-104 (d35)
0.4,,,,,,,,,,,,
0.7,,,,,,,,,,,,
1,100,100,100,100,100,100,100,100,100,99,100,98
1.3,100,100,100,100,100,100,100,100,100,97.5,98,94.5
1.6,100,100,100,100,100,100,100,100,99,96.5,92,88.5
1.9,100,97,100,100,93,90,100,100,94.5,89,77,74.5
2.2,93,90,100,100,93,77,100,87,76.5,82.5,46.5,43.5
2.5,90,70,100,100,87,60,100,83,73.5,74.5,6,26.5
2.8,83,63,97,93,80,53,97,33,38.5,45,0,11
3.1,57,50,70,90,37,40,77,0,34,27.5,0,4
3.4,27,17,57,40,23,30,53,0,17,16,0,0
3.7,27,7,0,33,7,0,23,0,9,11,0,0
4.01,27,3,0,17,3,0,20,0,0,0,0,0
4.31,0,0,0,0,0,0,0,0,0,0,0,0