Gestational age,-3SD,-2SD,-1SD,Average,1SD,2SD,3SD
50,,,,,,,
51,0,0.5,2,3.5,5,6.5,8
52,,,,,,,
53,,,,,,,
54,1.2,2.1,3,3.9,4.8,5.7,6.6
55,,,,,,,
56,,,,,,,
57,0.9,2.2,3.5,4.8,6.1,7.4,8.7
58,,,,,,,
59,,,,,,,
60,2.1,3.4,4.7,6,7.3,8.6,9.9
61,,,,,,,
62,,,,,,,
63,2.3,3.8,5.3,6.8,8.3,9.8,11.3
64,,,,,,,
65,,,,,,,
66,4.5,6,7.5,9,10.5,12,13.5
67,,,,,,,
68,,,,,,,
69,6.8,7.9,9,10.1,11.2,12.3,13.4
70,,,,,,,
71,,,,,,,
72,9.2,10.1,11,11.9,12.8,13.7,14.6
73,,,,,,,
74,,,,,,,
75,9.4,10.8,12.2,13.6,15,16.4,17.8
76,,,,,,,
77,,,,,,,
78,9.2,10.9,12.6,14.3,16,17.7,19.4
79,,,,,,,
80,,,,,,,
81,11.5,13,14.5,16,17.5,19,20.5
82,,,,,,,
83,,,,,,,
84,12.7,14.2,15.7,17.2,18.7,20.2,21.7
85,,,,,,,
86,,,,,,,
87,14.6,16,17.4,18.8,20.2,21.6,23
88,,,,,,,
89,,,,,,,
90,16.1,17.4,18.7,20,21.3,22.6,23.9
91,,,,,,,
92,,,,,,,
93,16.3,17.9,19.5,21.1,22.7,24.3,25.9
94,,,,,,,
95,,,,,,,
96,17.4,19.1,20.8,22.5,24.2,25.9,27.6
97,,,,,,,
98,,,,,,,
99,19.7,21,22.3,23.6,24.9,26.2,27.5
100,,,,,,,
101,,,,,,,
102,20.4,22.1,23.8,25.5,27.2,28.9,30.6
103,,,,,,,
104,,,,,,,
105,21.6,23.3,25,26.7,28.4,30.1,31.8
106,,,,,,,
107,,,,,,,
108,22.6,24,25.4,26.8,28.2,29.6,31
109,,,,,,,
110,,,,,,,
111,24.2,25.6,27,28.4,29.8,31.2,32.6
112,,,,,,,
113,,,,,,,
114,24.2,25.9,27.6,29.3,31,32.7,34.4
115,,,,,,,
116,,,,,,,
117,26.7,28.2,29.7,31.2,32.7,34.2,35.7
118,,,,,,,
119,,,,,,,
120,26.9,28.7,30.5,32.3,34.1,35.9,37.7
121,,,,,,,
122,,,,,,,
123,28.2,29.7,31.2,32.7,34.2,35.7,37.2
124,,,,,,,
125,,,,,,,
126,31.6,32.7,33.8,34.9,36,37.1,38.2
127,,,,,,,
128,,,,,,,
129,28,30.3,32.6,34.9,37.2,39.5,41.8
130,,,,,,,
131,,,,,,,
132,30.9,32.8,34.7,36.6,38.5,40.4,42.3
133,,,,,,,
134,,,,,,,
135,32.6,33.9,35.2,36.5,37.8,39.1,40.4
136,,,,,,,
137,,,,,,,
138,32.5,34.5,36.5,38.5,40.5,42.5,44.5
139,,,,,,,
140,,,,,,,
141,30.2,32.9,35.6,38.3,41,43.7,46.4
142,,,,,,,
143,,,,,,,
144,32.1,34.8,37.5,40.2,42.9,45.6,48.3
145,,,,,,,
146,,,,,,,
147,34.1,36.2,38.3,40.4,42.5,44.6,46.7
148,,,,,,,
149,,,,,,,
150,35.3,37.1,38.9,40.7,42.5,44.3,46.1
151,,,,,,,
152,,,,,,,
153,34.5,36.9,39.3,41.7,44.1,46.5,48.9
154,,,,,,,
155,,,,,,,
156,35.2,37.4,39.6,41.8,44,46.2,48.4
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,